
> darfus-jewellery-erp@2.0.0 dev
> next dev

▲ Next.js 16.2.9 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.137.1:3000
- Environments: .env
✓ Ready in 509ms

 GET /ar/login 200 in 1786ms (next.js: 1074ms, proxy.ts: 277ms, generate-params: 814ms, application-code: 435ms)
 GET /ar/inventory/stock-audit 200 in 556ms (next.js: 455ms, proxy.ts: 8ms, generate-params: 426ms, application-code: 93ms)
 GET /ar/inventory/stock-audit 200 in 89ms (next.js: 14ms, proxy.ts: 9ms, generate-params: 8ms, application-code: 67ms)
 GET /en/inventory/stock-audit 200 in 77ms (next.js: 10ms, proxy.ts: 4ms, generate-params: 5ms, application-code: 63ms)
 GET /ar/inventory/AST-PUR-1787083585731-1-1-plz5 200 in 526ms (next.js: 440ms, proxy.ts: 4ms, application-code: 82ms)
 GET /en/inventory/AST-PUR-1787083585731-1-1-plz5 200 in 97ms (next.js: 15ms, proxy.ts: 4ms, application-code: 78ms)
 GET /ar/inventory/AST-PUR-1787083585731-1-1-plz5 200 in 93ms (next.js: 21ms, proxy.ts: 8ms, application-code: 64ms)
 GET /en/inventory/AST-PUR-1787083585731-1-1-plz5 200 in 89ms (next.js: 16ms, proxy.ts: 5ms, application-code: 68ms)
 GET /ar/inventory/stock-audit 200 in 88ms (next.js: 14ms, proxy.ts: 4ms, generate-params: 8ms, application-code: 69ms)
 GET /en/inventory/stock-audit 200 in 102ms (next.js: 15ms, proxy.ts: 7ms, generate-params: 9ms, application-code: 80ms)
 GET /en/inventory/stock-audit 200 in 82ms (next.js: 13ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 66ms)
 GET /ar/pos 200 in 1077ms (next.js: 901ms, proxy.ts: 8ms, generate-params: 496ms, application-code: 167ms)
 GET /en/pos 200 in 84ms (next.js: 15ms, proxy.ts: 6ms, generate-params: 7ms, application-code: 63ms)
✓ Compiled in 1858ms
 GET /en/pos 200 in 490ms (next.js: 299ms, proxy.ts: 100ms, generate-params: 7ms, application-code: 91ms)
 GET /ar/login 200 in 498ms (next.js: 125ms, proxy.ts: 98ms, generate-params: 6ms, application-code: 275ms)
✓ Compiled in 803ms
 GET /en/pos 200 in 350ms (next.js: 152ms, proxy.ts: 82ms, generate-params: 6ms, application-code: 116ms)
 GET /ar/login 200 in 354ms (next.js: 225ms, proxy.ts: 84ms, generate-params: 7ms, application-code: 45ms)
✓ Compiled in 148ms
 GET /en/pos 200 in 295ms (next.js: 88ms, proxy.ts: 85ms, generate-params: 6ms, application-code: 122ms)
 GET /ar/login 200 in 298ms (next.js: 158ms, proxy.ts: 86ms, generate-params: 7ms, application-code: 54ms)
 GET /ar/dashboard 200 in 499ms (next.js: 447ms, proxy.ts: 5ms, generate-params: 409ms, application-code: 47ms)
 GET /ar/dashboard 200 in 66ms (next.js: 32ms, proxy.ts: 5ms, generate-params: 11ms, application-code: 29ms)
 GET /ar/pos 200 in 39ms (next.js: 12ms, proxy.ts: 3ms, generate-params: 6ms, application-code: 23ms)
 GET /ar/customers 200 in 753ms (next.js: 726ms, proxy.ts: 3ms, generate-params: 461ms, application-code: 23ms)
 GET /ar/inventory 200 in 461ms (next.js: 430ms, proxy.ts: 4ms, generate-params: 406ms, application-code: 27ms)
 GET /ar/customers 200 in 43ms (next.js: 14ms, proxy.ts: 4ms, generate-params: 8ms, application-code: 25ms)
 GET /ar/sales 200 in 819ms (next.js: 783ms, proxy.ts: 3ms, generate-params: 425ms, application-code: 33ms)
 GET /ar/sales 200 in 47ms (next.js: 19ms, proxy.ts: 4ms, generate-params: 6ms, application-code: 24ms)
 GET /ar/customers 200 in 37ms (next.js: 11ms, proxy.ts: 4ms, generate-params: 7ms, application-code: 21ms)
 GET /ar/pos 200 in 308ms (next.js: 15ms, proxy.ts: 4ms, generate-params: 9ms, application-code: 289ms)
 GET /en/pos 200 in 86ms (next.js: 16ms, proxy.ts: 5ms, generate-params: 6ms, application-code: 66ms)
 GET /ar/pos 200 in 84ms (next.js: 12ms, proxy.ts: 4ms, generate-params: 6ms, application-code: 68ms)
 GET /en/pos 200 in 91ms (next.js: 14ms, proxy.ts: 3ms, generate-params: 9ms, application-code: 73ms)
 GET /ar/customers 200 in 25ms (next.js: 12ms, proxy.ts: 3ms, generate-params: 7ms, application-code: 10ms)
 GET /ar/customers 200 in 30ms (next.js: 5ms, proxy.ts: 4ms, generate-params: 47µs, application-code: 21ms)
 GET /ar/pos 200 in 36ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 6ms, application-code: 24ms)
 GET /ar/customers 200 in 35ms (next.js: 10ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 22ms)
 GET /ar/pos 200 in 34ms (next.js: 11ms, proxy.ts: 4ms, generate-params: 7ms, application-code: 19ms)
 GET /ar/customers 200 in 35ms (next.js: 11ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 20ms)
 GET /ar/customers 200 in 20ms (next.js: 10ms, proxy.ts: 3ms, generate-params: 6ms, application-code: 7ms)
 GET /ar/customers 200 in 27ms (next.js: 4ms, proxy.ts: 4ms, generate-params: 20µs, application-code: 18ms)
 GET /ar/pos 200 in 36ms (next.js: 12ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 21ms)
 GET /ar/customers 200 in 37ms (next.js: 11ms, proxy.ts: 4ms, generate-params: 7ms, application-code: 22ms)
 GET /en/pos 200 in 114ms (next.js: 15ms, proxy.ts: 6ms, generate-params: 6ms, application-code: 92ms)
 GET /en/customers 200 in 141ms (next.js: 15ms, proxy.ts: 6ms, generate-params: 7ms, application-code: 120ms)
 GET /en/pos 200 in 110ms (next.js: 16ms, proxy.ts: 4ms, generate-params: 7ms, application-code: 89ms)
 GET /en/pos 200 in 77ms (next.js: 13ms, proxy.ts: 4ms, generate-params: 6ms, application-code: 60ms)
 GET /en/dashboard 200 in 167ms (next.js: 12ms, proxy.ts: 5ms, generate-params: 6ms, application-code: 151ms)
 GET /ar/dashboard 200 in 92ms (next.js: 12ms, proxy.ts: 7ms, generate-params: 7ms, application-code: 74ms)
 GET /ar/dashboard 200 in 82ms (next.js: 14ms, proxy.ts: 4ms, generate-params: 6ms, application-code: 64ms)
 GET /ar/inventory 200 in 85ms (next.js: 12ms, proxy.ts: 4ms, generate-params: 6ms, application-code: 69ms)
 GET /ar/inventory/transfers 200 in 517ms (next.js: 440ms, proxy.ts: 4ms, generate-params: 408ms, application-code: 73ms)
 GET /ar/inventory/workshop 200 in 477ms (next.js: 419ms, proxy.ts: 3ms, generate-params: 393ms, application-code: 55ms)
 GET /ar/inventory/stock-audit 200 in 77ms (next.js: 17ms, proxy.ts: 3ms, generate-params: 6ms, application-code: 58ms)
 GET /ar/pos 200 in 81ms (next.js: 13ms, proxy.ts: 4ms, generate-params: 7ms, application-code: 64ms)
 GET /ar/customers 200 in 69ms (next.js: 10ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 56ms)
 GET /en/dashboard 200 in 63ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 51ms)
 GET /en/inventory 200 in 81ms (next.js: 17ms, proxy.ts: 7ms, generate-params: 9ms, application-code: 57ms)
 GET /en/inventory/transfers 200 in 76ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 64ms)
 GET /en/inventory/workshop 200 in 60ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 48ms)
 GET /en/inventory/stock-audit 200 in 76ms (next.js: 13ms, proxy.ts: 3ms, generate-params: 7ms, application-code: 60ms)
 GET /en/pos 200 in 80ms (next.js: 10ms, proxy.ts: 4ms, generate-params: 5ms, application-code: 67ms)
 GET /en/customers 200 in 65ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 53ms)
 GET /ar/settings 200 in 552ms (next.js: 458ms, proxy.ts: 4ms, generate-params: 422ms, application-code: 91ms)
 GET /ar/employees 200 in 528ms (next.js: 461ms, proxy.ts: 3ms, generate-params: 412ms, application-code: 65ms)
 GET /en/settings 200 in 90ms (next.js: 17ms, proxy.ts: 6ms, generate-params: 12ms, application-code: 66ms)
 GET /en/employees 200 in 74ms (next.js: 11ms, proxy.ts: 4ms, generate-params: 6ms, application-code: 59ms)
 GET /ar/login 200 in 39ms (next.js: 13ms, proxy.ts: 4ms, generate-params: 7ms, application-code: 22ms)
 GET /ar/login 200 in 27ms (next.js: 5ms, proxy.ts: 6ms, generate-params: 18µs, application-code: 15ms)
 GET /en/dashboard 200 in 62ms (next.js: 10ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 49ms)
 GET /en/dashboard 200 in 62ms (next.js: 10ms, proxy.ts: 3ms, generate-params: 6ms, application-code: 49ms)
 GET /ar/dashboard 200 in 102ms (next.js: 19ms, proxy.ts: 8ms, generate-params: 12ms, application-code: 74ms)
 GET /ar/dashboard 200 in 78ms (next.js: 13ms, proxy.ts: 4ms, generate-params: 7ms, application-code: 61ms)
 GET /ar/inventory 200 in 129ms (next.js: 15ms, proxy.ts: 6ms, generate-params: 7ms, application-code: 108ms)
 GET /ar/inventory/1 200 in 174ms (next.js: 27ms, proxy.ts: 4ms, application-code: 143ms)
